,category_id,views,likes,dislikes,comment_total,toxic_scores
0,24,0.10587850240111775,0.1592013593544658,0.01862727855177699,46245,0.11
1,28,0.18939739096272948,0.09244734540874647,0.08378977651034535,0,0.0
2,22,0.1408629961461829,0.28681195364426176,0.12491677240235675,170708,0.13
3,28,0.06366410163189647,0.012423111015606114,0.01426489616964611,12829,0.01
4,23,0.028147255061315633,0.048083781759142366,0.001783897187221266,6666,0.1
5,1,0.03160057263651056,0.017164536208829635,0.0017085212497330437,3040,0.08
6,23,0.01605200513379639,0.004966757296930011,0.0009327772264167536,1071,0.06
7,28,0.04165267492536025,0.03684005797949229,0.006846647655180211,15297,0.04
8,22,0.032253284958855606,0.03466383733111284,0.0021293702340422858,5643,0.0
9,1,0.025466840633327575,0.014894302828440195,0.0027575030464441403,4046,0.03
10,23,0.02070542375795746,0.017153592927854927,0.002280122109018731,1914,0.02
11,23,0.010902883693064054,0.013952683242752811,0.001271968945113755,2745,0.1
12,23,0.006235585775574911,0.004021655758205222,0.0009516212107888092,726,0.06
13,24,0.006610929095316818,0.004583742462815229,0.0014980967575784223,838,0.07
14,24,0.011414056138657225,0.007331998253054419,0.0013033755857338476,1696,0.03
15,28,0.012408762923164233,0.009419180388048743,0.002013165663747943,3817,0.06
16,24,0.006815745055887288,0.007396663095177694,0.0009421992186027814,1398,0.06
17,1,0.03813632222630033,0.0327049900366401,0.004808356678936194,3598,0.09
18,26,0.011564897069618536,0.01191076649724478,0.0020100249996859334,1941,0.14
19,1,0.06490179243362613,0.003950027010007133,0.0009484805467267999,1432,0.11
20,10,0.019652886584583498,0.03303876010636869,0.011237296013869172,5550,0.0
21,25,0.009217320625555171,0.0007565786528423182,0.0008479792967425032,1168,0.0
22,24,0.01695755673546684,0.001452969260323742,0.0068968982801723595,1042,0.13
23,24,0.006167779644628405,0.010852252773873016,0.0009202145701687164,2017,0.05
24,10,0.002334227262633241,0.001739981674978586,0.0015138000778884687,439,0.12
25,17,0.01792614346100227,0.003047206329593716,0.0011055137498272635,2438,0.02
26,17,0.2538571423614538,0.1914676233083926,0.02371201366817,23855,0.04
27,26,0.011647040317804974,0.008087084640309277,0.0007694626951922714,1588,0.18
28,24,0.079479580475227,0.03269553902125285,0.013693295310360423,9504,0.12
29,26,0.007741971021577675,0.007672234806995343,0.000879385937362596,3317,0.0
30,10,0.01814052553173115,0.021035970564563865,0.0011274983982613284,3250,0.06
31,27,0.014508849398872384,0.009737032958177764,0.0020665569528021004,2510,0.04
32,24,0.003292549094144789,0.003092969140942495,0.00039886433587517746,524,0.07
33,25,0.005889856434131958,0.004547928088716184,0.021438172887275286,4838,0.06
34,1,0.022111521471266778,0.012662370931462231,0.0022958254293287774,1073,0.020202020202020204
35,24,0.01920200231938413,0.019792913330209525,0.003932111405635608,3868,0.03
36,24,7.064945839913146e-05,3.531695223655792e-05,9.421992186027814e-06,15,0.06557377049180328
37,25,0.005410322030448085,0.00024373671261849832,0.0024245926558711575,597,0.03
38,26,0.005936988201058527,0.007617518402121803,0.00077574402331629,1842,0.01
39,1,0.0039914293436019545,0.0018464299535507465,0.0004459742968053165,524,0.01
40,27,0.00392326177272503,0.004740927771361036,0.001306516249795857,1079,0.05
41,10,0.003943454216837742,0.009542043588082966,0.0004302709764952702,2154,0.01
42,24,0.005317046432404758,0.0010296632553475338,0.0014101581638421628,352,0.23
43,26,0.0034225710851139954,0.004919004798131285,0.00040828632806120526,1224,0.1
44,22,0.019464239036900415,0.0131921252150106,0.0016394266403688396,5996,0.02
45,26,0.04667136474320223,0.03710120445729782,0.0033291039057298274,6558,0.07
46,23,0.006744541389594848,0.0021831845544542637,0.00043341164055727945,338,0.0
